difficulty,category,xp_reward,user_streak,category_familiarity,completed
Medium,Intellect,115,3,0.3362,1
Medium,Strength,133,3,0.3085,1
Hard,Discipline,262,3,0.02,1
Medium,Endurance,131,19,0.5826,1
Easy,Intellect,74,20,0.6988,1
Epic,Intellect,507,17,0.8539,1
Medium,Strength,117,17,0.1402,1
Medium,Health,115,15,0.5442,1
Easy,Intellect,58,8,0.008,1
Medium,Discipline,127,17,0.0951,1
Medium,Intellect,131,21,0.0542,1
Medium,Discipline,125,1,0.7255,1
Easy,Endurance,56,20,0.0811,1
Medium,Endurance,130,3,0.7165,1
Epic,Mind,496,11,0.2496,1
Easy,Mind,73,6,0.8777,1
Epic,Discipline,513,14,0.8131,1
Medium,Health,130,6,0.9578,1
Hard,Intellect,263,28,0.8838,1
Hard,Intellect,253,21,0.9333,1
Medium,Mind,115,25,0.8587,1
Hard,Discipline,254,20,0.6934,1
Hard,Intellect,263,16,0.1703,1
Medium,Intellect,115,15,0.2717,1
Easy,Health,56,27,0.2127,1
Medium,Strength,130,18,0.6036,1
Hard,Mind,256,8,0.5036,1
Hard,Mind,252,13,0.8671,1
Hard,Strength,262,16,0.9527,1
Medium,Intellect,116,4,0.4049,1
Hard,Health,257,1,0.5064,1
Easy,Health,60,19,0.9715,0
Medium,Mind,120,15,0.2762,0
Easy,Health,63,13,0.7924,1
Easy,Endurance,70,13,0.2252,0
Medium,Strength,125,26,0.6815,1
Medium,Intellect,121,0,0.2536,1
Medium,Endurance,124,2,0.8837,1
Medium,Strength,124,25,0.5615,1
Medium,Discipline,134,6,0.1859,1
Easy,Mind,72,25,0.2244,0
Medium,Health,134,14,0.4938,1
Easy,Discipline,63,18,0.9616,1
Easy,Health,69,19,0.7696,1
Medium,Endurance,118,1,0.4883,1
Medium,Intellect,122,18,0.3377,1
Medium,Intellect,123,8,0.5493,1
Medium,Intellect,127,18,0.7484,1
Medium,Health,123,26,0.7839,1
Hard,Discipline,248,4,0.3246,1
Medium,Intellect,131,17,0.7212,1
Medium,Discipline,130,15,0.6578,0
Easy,Health,69,3,0.9591,1
Easy,Endurance,57,11,0.9311,1
Medium,Discipline,134,28,0.7894,1
Medium,Endurance,119,6,0.7234,1
Medium,Health,119,13,0.274,0
Medium,Health,134,22,0.846,1
Medium,Mind,129,11,0.4275,1
Hard,Health,262,2,0.2722,0
Hard,Health,259,4,0.3842,0
Hard,Strength,246,16,0.8359,1
Epic,Intellect,507,25,0.1486,1
Easy,Mind,58,9,0.4562,1
Easy,Mind,64,9,0.4924,1
Easy,Mind,67,10,0.0366,1
Medium,Strength,124,16,0.1957,1
Hard,Endurance,253,4,0.8267,1
Easy,Health,62,12,0.8308,1
Epic,Intellect,497,9,0.2924,1
Easy,Discipline,70,8,0.8749,1
Epic,Endurance,508,16,0.7718,1
Medium,Health,123,0,0.4179,0
Easy,Strength,65,3,0.7484,1
Medium,Health,117,3,0.9613,1
Easy,Health,59,17,0.459,1
Easy,Strength,64,8,0.2384,1
Easy,Mind,67,29,0.9418,1
Hard,Mind,248,24,0.6037,1
Medium,Intellect,127,28,0.1053,1
Easy,Intellect,66,28,0.5727,1
Medium,Mind,119,17,0.5006,1
Hard,Endurance,254,13,0.8556,1
Easy,Discipline,63,24,0.5307,1
Medium,Health,134,14,0.2552,1
Easy,Discipline,61,5,0.6756,1
Easy,Health,56,23,0.5426,1
Medium,Mind,121,9,0.233,1
Easy,Intellect,62,28,0.5736,1
Medium,Endurance,121,14,0.8215,1
Hard,Intellect,258,28,0.0286,0
Easy,Discipline,73,3,0.6309,1
Medium,Intellect,119,17,0.3496,1
Easy,Mind,72,17,0.2927,1
Epic,Endurance,514,24,0.3926,0
Medium,Discipline,126,16,0.342,1
Hard,Endurance,261,11,0.8322,1
Medium,Health,127,6,0.2748,0
Easy,Intellect,56,15,0.7332,1
Medium,Endurance,127,10,0.0941,1
Epic,Strength,501,13,0.9514,0
Medium,Intellect,124,2,0.6223,1
Hard,Health,250,18,0.7067,1
Hard,Endurance,247,17,0.298,1
Easy,Discipline,57,29,0.4121,1
Easy,Health,72,9,0.2238,1
Medium,Strength,125,5,0.9325,1
Medium,Endurance,134,12,0.4881,1
Hard,Mind,249,9,0.6304,1
Epic,Intellect,513,17,0.7343,0
Medium,Discipline,133,25,0.3711,1
Easy,Mind,69,19,0.7201,1
Hard,Endurance,260,25,0.676,1
Easy,Endurance,63,15,0.7057,1
Hard,Health,248,24,0.4892,1
Medium,Endurance,129,24,0.3829,1
Medium,Discipline,126,5,0.2221,1
Easy,Mind,57,12,0.8246,1
Medium,Discipline,128,3,0.6084,0
Medium,Strength,131,22,0.4444,1
Medium,Strength,133,13,0.944,1
Easy,Intellect,60,0,0.0478,1
Hard,Intellect,248,27,0.8502,1
Hard,Strength,251,19,0.9976,1
Easy,Endurance,73,4,0.8869,1
Easy,Discipline,71,7,0.8104,1
Easy,Strength,70,11,0.3743,1
Medium,Intellect,129,1,0.2313,1
Medium,Strength,122,11,0.7349,1
Medium,Endurance,133,4,0.3046,0
Easy,Strength,62,21,0.176,1
Medium,Discipline,132,4,0.7865,1
Medium,Mind,130,12,0.3125,1
Medium,Endurance,134,8,0.9144,1
Epic,Intellect,513,9,0.8406,1
Easy,Discipline,64,0,0.8476,1
Medium,Strength,131,29,0.7716,1
Medium,Strength,127,2,0.8809,1
Medium,Mind,127,29,0.8057,1
Hard,Intellect,251,17,0.6025,0
Medium,Intellect,124,11,0.2958,1
Epic,Health,496,28,0.8882,1
Easy,Intellect,58,2,0.8406,1
Easy,Mind,60,25,0.4729,0
Hard,Health,262,24,0.0391,0
Medium,Health,120,28,0.6385,1
Easy,Strength,71,29,0.0506,1
Easy,Strength,68,8,0.9263,1
Easy,Intellect,65,25,0.9616,1
Hard,Health,263,1,0.1895,1
Easy,Strength,56,29,0.6764,1
Easy,Mind,57,2,0.0923,1
Easy,Strength,65,13,0.7295,1
Medium,Endurance,120,3,0.3473,1
Easy,Endurance,68,24,0.6811,1
Medium,Strength,133,18,0.3729,1
Easy,Health,70,12,0.1456,1
Hard,Health,251,6,0.4061,1
Easy,Discipline,62,11,0.1127,0
Medium,Endurance,133,2,0.5769,0
Hard,Mind,264,22,0.041,0
Medium,Health,130,22,0.5273,1
Medium,Intellect,121,8,0.8864,1
Easy,Endurance,63,1,0.8379,0
Easy,Mind,67,28,0.8828,1
Medium,Mind,115,21,0.922,1
Epic,Health,502,8,0.1045,0
Medium,Mind,118,11,0.1287,1
Medium,Health,117,11,0.557,1
Hard,Strength,247,14,0.894,0
Medium,Endurance,127,1,0.9743,1
Easy,Discipline,62,17,0.0463,1
Medium,Strength,121,12,0.3558,1
Epic,Endurance,495,13,0.2129,1
Easy,Health,70,4,0.756,1
Medium,Endurance,120,25,0.6402,1
Easy,Health,61,9,0.1199,1
Medium,Strength,126,11,0.4835,0
Easy,Intellect,63,9,0.6854,1
Medium,Intellect,125,23,0.779,1
Hard,Endurance,254,10,0.0201,1
Easy,Intellect,55,24,0.8905,0
Medium,Health,132,1,0.5693,1
Hard,Mind,248,4,0.8119,0
Epic,Health,499,29,0.8079,0
Easy,Mind,63,6,0.1899,1
Medium,Strength,131,5,0.1102,0
Easy,Discipline,57,21,0.7213,1
Epic,Mind,510,22,0.1564,0
Epic,Intellect,499,2,0.8499,1
Medium,Health,130,12,0.7262,1
Hard,Strength,247,2,0.8418,0
Medium,Intellect,134,25,0.299,1
Medium,Strength,129,24,0.3166,1
Easy,Discipline,57,29,0.6712,1
Hard,Health,264,23,0.0314,1
Easy,Endurance,68,20,0.7265,1
Hard,Health,260,5,0.8358,1
Hard,Discipline,261,10,0.4152,1
Hard,Health,264,27,0.7649,1
Easy,Endurance,72,25,0.1746,1
Easy,Mind,72,16,0.3223,1
Easy,Strength,68,9,0.9743,1
Medium,Endurance,132,11,0.9863,1
Easy,Intellect,69,16,0.5126,1
Epic,Discipline,509,3,0.9343,1
Medium,Mind,120,1,0.5227,1
Easy,Intellect,69,10,0.2916,1
Medium,Intellect,132,6,0.2669,1
Medium,Discipline,118,1,0.9295,1
Medium,Mind,122,25,0.1724,1
Medium,Intellect,129,17,0.5796,1
Epic,Intellect,497,20,0.5555,0
Medium,Mind,129,3,0.7396,1
Epic,Health,507,7,0.4992,0
Hard,Intellect,253,19,0.2723,1
Easy,Strength,56,13,0.1694,1
Epic,Mind,502,11,0.6208,1
Easy,Intellect,74,21,0.719,1
Hard,Discipline,261,20,0.5695,1
Medium,Endurance,127,26,0.7384,1
Hard,Strength,245,29,0.1415,1
Hard,Endurance,246,17,0.8825,1
Hard,Endurance,259,10,0.5824,0
Hard,Intellect,256,28,0.1268,1
Easy,Strength,68,27,0.4619,1
Easy,Strength,56,29,0.8448,1
Medium,Health,132,7,0.8976,1
Easy,Endurance,61,1,0.2646,1
Medium,Strength,120,24,0.7113,1
Easy,Health,68,14,0.1,1
Epic,Mind,502,8,0.0335,0
Medium,Health,116,18,0.5604,1
Hard,Discipline,261,19,0.6948,0
Easy,Intellect,59,7,0.7958,1
Hard,Mind,258,24,0.3402,0
Epic,Mind,514,18,0.0065,0
Medium,Discipline,117,4,0.4795,0
Medium,Health,119,10,0.0159,1
Hard,Intellect,260,14,0.092,1
Easy,Health,72,7,0.3267,1
Medium,Strength,131,18,0.4372,1
Medium,Health,125,22,0.2795,1
Easy,Mind,71,26,0.5819,1
Medium,Intellect,130,7,0.0553,1
Easy,Health,56,25,0.1446,1
Easy,Intellect,58,26,0.6953,1
Easy,Intellect,61,29,0.1421,1
Epic,Strength,496,18,0.6398,1
Medium,Strength,120,17,0.0547,1
Epic,Mind,511,9,0.4074,1
Medium,Discipline,121,28,0.1774,1
Easy,Intellect,59,6,0.1096,1
Medium,Discipline,119,27,0.567,1
Medium,Mind,134,8,0.9283,1
Easy,Intellect,70,0,0.0548,1
Medium,Intellect,133,18,0.4216,1
Easy,Endurance,63,4,0.7075,1
Medium,Discipline,119,18,0.4627,1
Medium,Health,122,0,0.8065,1
Easy,Strength,63,14,0.1796,1
Easy,Health,59,15,0.9596,1
Hard,Discipline,254,22,0.3852,1
Medium,Strength,116,6,0.3416,0
Easy,Health,63,25,0.8746,1
Epic,Endurance,505,11,0.5639,0
Easy,Strength,58,7,0.5164,1
Medium,Intellect,116,4,0.727,1
Epic,Health,500,9,0.5798,1
Easy,Strength,68,27,0.1625,1
Easy,Endurance,55,20,0.6742,1
Easy,Strength,72,4,0.1335,1
Easy,Strength,61,16,0.8059,1
Easy,Endurance,55,25,0.9897,1
Medium,Health,115,4,0.3774,1
Easy,Mind,55,21,0.4448,1
Medium,Health,118,14,0.0464,1
Epic,Discipline,498,12,0.0137,0
Hard,Endurance,262,27,0.9214,0
Medium,Health,125,0,0.1286,0
Easy,Strength,55,10,0.4458,1
Medium,Endurance,124,22,0.8154,1
Medium,Intellect,123,0,0.8893,0
Medium,Health,118,10,0.5194,1
Easy,Endurance,60,17,0.565,0
Hard,Health,260,17,0.6697,1
Medium,Endurance,116,20,0.9614,1
Easy,Strength,72,29,0.6027,1
Medium,Intellect,124,25,0.5595,1
Medium,Intellect,131,15,0.0145,0
Hard,Discipline,257,12,0.0809,1
Hard,Endurance,262,6,0.5772,0
Hard,Health,257,0,0.9362,0
Easy,Intellect,71,25,0.8667,1
Medium,Intellect,119,15,0.9826,1
Medium,Mind,125,0,0.5278,0
Easy,Mind,61,16,0.7879,1
Easy,Intellect,64,5,0.8404,1
Hard,Endurance,261,1,0.648,1
Easy,Discipline,69,16,0.3387,1
Medium,Intellect,132,5,0.47,0
Easy,Strength,73,13,0.8579,1
Easy,Health,56,17,0.2985,1
Easy,Discipline,58,5,0.9237,1
Epic,Strength,497,9,0.2298,0
Hard,Discipline,251,23,0.7495,1
Epic,Strength,512,17,0.6306,1
Medium,Health,124,26,0.7496,1
Easy,Health,61,8,0.4373,1
Medium,Mind,122,7,0.9326,1
Medium,Endurance,120,27,0.6325,1
Hard,Strength,245,9,0.2883,1
Easy,Mind,58,16,0.6385,1
Medium,Strength,128,22,0.2868,1
Easy,Mind,71,29,0.2936,1
Easy,Health,74,28,0.3996,1
Hard,Discipline,262,25,0.8524,1
Medium,Mind,125,5,0.5003,1
Medium,Strength,128,13,0.6789,1
Medium,Strength,123,21,0.392,1
Medium,Endurance,129,21,0.2636,1
Hard,Health,256,5,0.9546,1
Hard,Strength,254,25,0.6036,1
Epic,Intellect,513,6,0.934,1
Hard,Discipline,263,11,0.2034,0
Easy,Mind,60,2,0.1469,0
Medium,Endurance,134,13,0.8558,0
Medium,Discipline,120,21,0.6809,1
Easy,Health,62,18,0.1866,1
Hard,Endurance,245,22,0.2694,1
Easy,Mind,71,15,0.8007,1
Epic,Mind,511,6,0.4539,0
Medium,Intellect,129,7,0.6705,1
Medium,Health,121,17,0.3184,1
Medium,Endurance,133,24,0.3812,1
Hard,Endurance,247,12,0.9907,1
Medium,Strength,125,20,0.2476,1
Medium,Intellect,134,8,0.5065,1
Easy,Intellect,73,9,0.8444,1
Medium,Endurance,123,20,0.2392,1
Easy,Endurance,64,22,0.4152,1
Hard,Discipline,246,26,0.6151,1
Medium,Discipline,115,8,0.4812,1
Medium,Discipline,130,14,0.4595,1
Easy,Intellect,72,19,0.3625,1
Easy,Strength,71,1,0.5866,1
Hard,Mind,250,24,0.6244,1
Easy,Discipline,68,12,0.6533,1
Easy,Strength,69,1,0.0704,1
Easy,Health,68,18,0.631,1
Epic,Discipline,497,25,0.9532,1
Hard,Mind,263,1,0.541,0
Medium,Health,126,2,0.7153,1
Easy,Health,56,5,0.5567,0
Easy,Mind,57,2,0.8547,0
Hard,Discipline,262,9,0.9296,0
Medium,Intellect,115,23,0.1842,1
Easy,Mind,74,26,0.4369,1
Easy,Mind,60,5,0.3924,1
Easy,Mind,59,22,0.4052,1
Medium,Health,115,15,0.1255,1
Hard,Strength,263,16,0.8136,1
Easy,Intellect,55,18,0.0358,1
Easy,Discipline,70,2,0.5282,0
Easy,Discipline,66,17,0.6619,1
Epic,Strength,502,6,0.2075,1
Easy,Mind,70,8,0.9059,1
Hard,Intellect,245,19,0.8385,1
Medium,Discipline,118,11,0.4711,1
Medium,Endurance,124,4,0.4111,0
Easy,Discipline,65,2,0.2366,1
Easy,Mind,71,10,0.73,1
Medium,Endurance,121,24,0.1317,1
Hard,Strength,256,29,0.6802,1
Medium,Intellect,121,3,0.8425,1
Medium,Strength,126,4,0.2285,0
Easy,Strength,69,0,0.8664,1
Epic,Intellect,496,26,0.0333,1
Hard,Intellect,258,27,0.9128,1
Easy,Discipline,67,28,0.1184,1
Epic,Discipline,498,17,0.6458,0
Medium,Intellect,128,11,0.2501,1
Medium,Endurance,128,12,0.8366,1
Hard,Health,260,8,0.5123,0
Hard,Discipline,251,1,0.1352,0
Medium,Health,133,4,0.571,0
Easy,Endurance,56,12,0.4079,1
Easy,Intellect,64,15,0.6614,1
Epic,Endurance,512,15,0.8819,1
Easy,Discipline,71,23,0.4094,1
Medium,Strength,119,2,0.2899,1
Medium,Intellect,126,21,0.0145,1
Medium,Mind,120,3,0.5748,1
Medium,Health,123,10,0.4023,0
Epic,Endurance,514,22,0.3746,0
Easy,Intellect,55,25,0.1829,1
Easy,Endurance,69,13,0.4301,1
Easy,Intellect,60,28,0.9844,1
Hard,Discipline,263,2,0.2978,1
Medium,Discipline,132,15,0.5997,1
Easy,Discipline,60,21,0.7765,1
Hard,Endurance,257,14,0.7492,1
Hard,Mind,245,27,0.3288,1
Hard,Discipline,257,9,0.6109,1
Epic,Intellect,501,8,0.8713,1
Easy,Discipline,69,10,0.0154,1
Hard,Strength,256,15,0.4357,1
Medium,Discipline,115,9,0.2243,0
Hard,Endurance,259,16,0.3886,0
Hard,Mind,248,18,0.416,1
Hard,Strength,257,1,0.7467,0
Medium,Endurance,119,23,0.0938,1
Easy,Endurance,56,22,0.5126,0
Medium,Endurance,115,1,0.5642,1
Epic,Intellect,510,5,0.4942,0
Epic,Endurance,500,18,0.7319,1
Easy,Intellect,70,7,0.3838,1
Easy,Endurance,68,25,0.945,1
Easy,Health,57,28,0.4818,1
Hard,Strength,259,2,0.5712,1
Hard,Health,247,25,0.8255,1
Easy,Endurance,56,13,0.2752,0
Medium,Strength,115,24,0.0752,1
Hard,Strength,253,15,0.7078,1
Hard,Mind,253,0,0.483,0
Medium,Health,121,20,0.8965,0
Medium,Mind,117,2,0.9827,1
Medium,Strength,132,21,0.3991,1
Easy,Intellect,65,25,0.4154,1
Medium,Strength,121,17,0.408,1
Medium,Mind,123,8,0.3246,1
Hard,Health,245,5,0.7817,1
Medium,Endurance,128,22,0.759,1
Hard,Endurance,264,20,0.4786,0
Easy,Health,60,24,0.0447,1
Medium,Endurance,121,0,0.3096,0
Easy,Endurance,64,20,0.2923,1
Easy,Mind,61,26,0.8111,1
Hard,Health,246,9,0.0876,1
Epic,Discipline,498,26,0.8057,1
Easy,Intellect,71,5,0.6692,1
Medium,Intellect,115,22,0.7324,1
Hard,Endurance,254,11,0.4322,0
Easy,Intellect,73,3,0.6797,1
Medium,Health,129,27,0.609,1
Hard,Health,254,12,0.769,1
Medium,Strength,133,16,0.4468,0
Easy,Strength,66,26,0.4728,1
Medium,Intellect,130,7,0.6436,0
Hard,Discipline,253,25,0.1081,1
Medium,Strength,129,19,0.4362,1
Easy,Strength,71,2,0.972,1
Hard,Health,258,11,0.0376,1
Easy,Discipline,72,6,0.316,1
Hard,Endurance,246,11,0.3141,1
Easy,Intellect,58,1,0.6335,1
Epic,Strength,512,23,0.1058,0
Medium,Discipline,121,13,0.6285,1
Easy,Discipline,67,21,0.095,1
Easy,Intellect,69,22,0.095,1
Easy,Discipline,55,29,0.7282,1
Hard,Discipline,255,4,0.3241,0
Epic,Discipline,504,8,0.9774,0
Medium,Strength,119,20,0.0374,0
Medium,Intellect,130,10,0.4451,1
Hard,Discipline,255,4,0.1131,0
Hard,Discipline,250,2,0.3514,0
Medium,Strength,123,26,0.9982,1
Medium,Intellect,127,16,0.8888,1
Medium,Health,122,1,0.0483,0
Medium,Strength,128,23,0.5633,1
Easy,Intellect,55,0,0.6478,1
Medium,Discipline,131,6,0.2095,0
Medium,Intellect,119,29,0.1451,1
Hard,Intellect,246,13,0.9044,1
Easy,Endurance,63,4,0.9688,1
Medium,Intellect,118,18,0.9919,1
Medium,Health,131,27,0.7898,1
Medium,Intellect,131,27,0.6635,1
Easy,Health,72,10,0.3457,1
Medium,Discipline,130,22,0.1714,0
Medium,Health,122,24,0.079,1
Medium,Discipline,125,1,0.6933,1
Medium,Discipline,132,7,0.7847,1
Medium,Health,124,8,0.8265,1
Hard,Strength,257,26,0.9138,1
Easy,Mind,71,2,0.8799,1
Hard,Intellect,262,1,0.9997,0
Medium,Endurance,124,6,0.2441,0
Easy,Mind,70,4,0.7633,0
Easy,Intellect,74,20,0.5865,1
Easy,Intellect,59,25,0.2612,1
Hard,Discipline,257,4,0.9819,0
Hard,Intellect,262,19,0.8979,1
Hard,Endurance,261,12,0.1285,1
Medium,Intellect,123,20,0.0262,1
Medium,Health,128,28,0.6883,1
Easy,Mind,71,19,0.6041,1
Easy,Health,58,28,0.9358,1
Medium,Endurance,132,5,0.234,1
Easy,Intellect,74,19,0.0844,1
Easy,Endurance,69,17,0.2592,1
Medium,Discipline,125,24,0.0189,0
Hard,Health,256,1,0.0359,0
Epic,Health,503,24,0.9149,0
Epic,Strength,507,25,0.352,1
Medium,Intellect,129,5,0.4108,1
Medium,Discipline,129,8,0.0184,1
Medium,Health,119,24,0.2705,1
Hard,Health,263,2,0.8047,1
Easy,Discipline,74,0,0.6155,1
Medium,Endurance,128,0,0.7538,1
Hard,Endurance,261,18,0.4472,1
Medium,Intellect,132,4,0.3097,0
Medium,Strength,117,12,0.4828,1
Medium,Health,116,18,0.3231,1
Easy,Strength,55,11,0.839,1
Medium,Endurance,124,15,0.2977,1
Easy,Endurance,73,24,0.6598,1
Easy,Mind,71,24,0.137,1
Easy,Intellect,66,18,0.6869,1
Hard,Mind,245,2,0.9133,0
Easy,Mind,66,11,0.6086,1
Medium,Mind,131,29,0.5599,1
Easy,Intellect,57,4,0.9611,1
Epic,Intellect,505,1,0.6274,1
Easy,Discipline,71,21,0.2596,1
Medium,Strength,117,6,0.2924,1
Hard,Strength,252,12,0.7053,1
Hard,Discipline,264,24,0.7354,1
Easy,Discipline,58,14,0.3035,1
Hard,Endurance,251,21,0.3453,1
Medium,Mind,128,2,0.9911,0
Medium,Discipline,128,27,0.102,1
Easy,Health,58,20,0.4046,1
Easy,Strength,70,19,0.0624,1
Hard,Discipline,245,4,0.8211,0
Medium,Health,131,23,0.0923,1
Medium,Health,124,7,0.674,1
Hard,Health,260,21,0.0565,0
Hard,Endurance,260,0,0.6729,0
Easy,Endurance,62,7,0.843,1
Medium,Health,121,23,0.3988,1
Easy,Endurance,60,17,0.5221,1
Hard,Mind,260,19,0.4015,1
Medium,Health,134,27,0.3005,1
Epic,Mind,510,15,0.8033,1
Easy,Mind,61,17,0.272,1
Easy,Health,63,19,0.7229,0
Easy,Strength,68,11,0.2062,1
